App.,Taxon,Term,Unit,Country,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
I,Acinonyx jubatus,trophies,Number of specimens,LT,,,,,,,1,2,,,
I,Acinonyx jubatus,trophies,Number of specimens,LV,,,,,,1,,,,,
I,Acinonyx jubatus,trophies,Number of specimens,MD,,,,,,,,,1,,
I,Acinonyx jubatus,trophies,Number of specimens,MX,,,,,,4,15,5,6,,
I,Acinonyx jubatus,trophies,Number of specimens,NZ,,,,,,,,,2,,
I,Acinonyx jubatus,trophies,Number of specimens,PL,,,,,2,3,5,9,,,
I,Acinonyx jubatus,trophies,Number of specimens,PT,,,,,,,,1,,,
I,Acinonyx jubatus,trophies,Number of specimens,PY,,,,,,,1,,,,
I,Acinonyx jubatus,trophies,Number of specimens,RO,,,,,,1,4,4,9,,
I,Acinonyx jubatus,trophies,Number of specimens,RS,,,,,,,,,1,,
I,Acinonyx jubatus,trophies,Number of specimens,RU,,,,,3,5,4,7,6,,
I,Acinonyx jubatus,trophies,Number of specimens,SE,,,,,3,,,1,2,,
I,Acinonyx jubatus,trophies,Number of specimens,SK,,,,,,,,,1,,
I,Acinonyx jubatus,trophies,Number of specimens,US,,,,,1,,,,,,
I,Acinonyx jubatus,trophies,Number of specimens,ZA,,,,,1,1,2,10,3,,
I,Acinonyx jubatus,trophies,,AR,3,1,2,1,,,,,,,
I,Acinonyx jubatus,trophies,,AT,8,7,3,7,2,1,1,1,,,
I,Acinonyx jubatus,trophies,,BE,3,3,2,2,,,,,,,
I,Acinonyx jubatus,trophies,,BG,2,1,,1,,,,,,,
I,Acinonyx jubatus,trophies,,CA,6,4,3,,,,,,,,
I,Acinonyx jubatus,trophies,,CH,1,1,1,1,,,,,,,
I,Acinonyx jubatus,trophies,,CN,,5,4,1,2,,,,,,
I,Acinonyx jubatus,trophies,,CR,,,1,,,,,,,,
I,Acinonyx jubatus,trophies,,CZ,4,5,3,2,1,1,3,,4,,
I,Acinonyx jubatus,trophies,,DE,13,11,6,10,3,,,,,,
I,Acinonyx jubatus,trophies,,DK,1,2,4,5,2,1,1,,,,
I,Acinonyx jubatus,trophies,,EE,,,5,,,,,,,,
I,Acinonyx jubatus,trophies,,ES,6,5,6,6,11,,,,,,
I,Acinonyx jubatus,trophies,,FI,,,2,1,,,,,,,
I,Acinonyx jubatus,trophies,,FR,12,5,27,12,,,,,,,
I,Acinonyx jubatus,trophies,,GR,,,,1,,,,,,,
I,Acinonyx jubatus,trophies,,HU,8,7,1,9,,3,8,9,12,,
I,Acinonyx jubatus,trophies,,IT,,,1,1,2,,,,,,
I,Acinonyx jubatus,trophies,,LT,,,1,3,,1,3,,,,
I,Acinonyx jubatus,trophies,,LU,,,3,1,,,,,,,
I,Acinonyx jubatus,trophies,,LV,,2,1,,,1,,,,,
I,Acinonyx jubatus,trophies,,MX,14,13,12,7,,,,,,,
I,Acinonyx jubatus,trophies,,NO,,1,1,3,1,,,,,,
I,Acinonyx jubatus,trophies,,PL,2,5,8,2,2,,,,,,
I,Acinonyx jubatus,trophies,,RO,2,,,,,,,,,,
I,Acinonyx jubatus,trophies,,RU,11,10,9,21,4,7,3,7,6,,
I,Acinonyx jubatus,trophies,,SA,,,,,,,1,,,,
I,Acinonyx jubatus,trophies,,SE,1,1,2,3,2,,,,,,
I,Acinonyx jubatus,trophies,,SK,6,1,,1,,2,,,1,,
I,Acinonyx jubatus,trophies,,UA,,4,2,,,,,,,,
I,Acinonyx jubatus,trophies,,ZA,2,,,,,,,,,,
I,Addax nasomaculatus,trophies,Number of specimens,MX,,,,,,,1,,,,
I,Addax nasomaculatus,trophies,,ZA,,,1,,,,,,,,
I,Ailuropoda melanoleuca,specimens,Number of specimens,DK,,,,,,1,,,,,
I,Ailuropoda melanoleuca,teeth,,DE,,,5,,,,,,,,
I,Ailurus fulgens,bodies,,KP,1,,,,,,,,,,
I,Ailurus fulgens,specimens,Number of specimens,IN,,,,,,,,477,,,
I,Ailurus fulgens,specimens,Number of specimens,JP,,,,,,,,,,1,
I,Ailurus fulgens,specimens,,TH,,,6,,,,,,,,
I,Ailurus fulgens,teeth,,DE,,,3,,,,,,,,
I,Allocebus trichotis,specimens,g,XX,,,,4,,,,,,,
I,Allocebus trichotis,specimens,Number of specimens,US,,,,4,,,,,,,
I,Alouatta hybrid,specimens,Number of specimens,US,,,,,,499,,,,,
I,Alouatta palliata,specimens,g,CA,,,,,1,,,,,,
I,Alouatta palliata,specimens,Number of specimens,CA,,,,,,,,6,,,
I,Alouatta palliata,specimens,Number of specimens,DE,,,,,,,,81,,,
I,Alouatta palliata,specimens,Number of specimens,FR,,,291,291,,,,,,,
I,Alouatta palliata,specimens,Number of specimens,US,,,238,,213,499,390,,,,
I,Alouatta palliata,specimens,,GB,80,,,,,,,,,,
I,Alouatta palliata,specimens,,US,,374,,2,,,,,,,
I,Alouatta pigra,specimens,Number of specimens,DE,,,,,,,,51,,,
I,Alouatta pigra,specimens,Number of specimens,US,,,,,286,499,,,,,
I,Antilocapra americana,bones,,US,,,1,,,,,,,,
I,Antilocapra americana sonoriensis,trophies,,US,,,1,,,,,,,,
I,Aonyx capensis microdon,specimens,Number of specimens,ES,,,,,,,1,,,,
I,Aonyx capensis microdon,specimens,,ES,,,,,,,1,,,,
I,Aonyx cinereus,specimens,Number of specimens,GB,,,,,,,,6,,,
I,Arctocephalus townsendi,specimens,g,DE,,100,,,,,,,,,
I,Arctocephalus townsendi,specimens,ml,US,,,,,,,2115,,,,
I,Arctocephalus townsendi,specimens,Number of specimens,US,,,,,,,,1175,,,
I,Arctocephalus townsendi,specimens,,US,,,,1098,,,,,,,
I,Ateles geoffroyi,specimens,g,CA,,,,,1,,,,,,
I,Ateles geoffroyi,specimens,Number of specimens,FR,,,61,61,,,,,,,
I,Ateles geoffroyi,specimens,Number of specimens,US,,,136,,,,,,,,
I,Ateles geoffroyi,specimens,,ES,,150,,,,,,,,,
I,Ateles geoffroyi,specimens,,US,,,,5,,,,,,,
I,Ateles geoffroyi frontatus,specimens,g,CA,,,,,0.5,,,,,,
I,Avahi laniger,specimens,g,XX,,,,338,,,,,,,
I,Avahi laniger,specimens,Number of specimens,DE,,,,,,,156,,,,
I,Avahi laniger,specimens,Number of specimens,US,,,,338,,,,65,,,
I,Avahi spp.,specimens,Number of specimens,DE,,,,,,,51,,,,
I,Axis porcinus,specimens,,IN,,,,,,,81,,,,
I,Axis porcinus,trophies,,AR,1,,,,,,,,,,
I,Axis porcinus annamiticus,horns,,AU,,1,,,,,,,,,
I,Axis porcinus annamiticus,skins,,AU,,2,,,,,,,,,
I,Axis porcinus annamiticus,specimens,g,AU,,16.06,,,,,,,,,
I,Axis porcinus annamiticus,specimens,,AU,,3,,,,,,,,,
I,Babyrousa celebensis,teeth,Number of specimens,NZ,,,,,,,,6,,,
I,Balaena mysticetus,baleen,g,DK,,,2485,,500,,,,,,
I,Balaena mysticetus,baleen,kg,DK,,3.7,5.7,1,5,,3,7,29.4,,
I,Balaena mysticetus,baleen,m,DK,,,,,3,,3,,,,
I,Balaena mysticetus,baleen,Number of specimens,CH,,,,,2,,,,,,
I,Balaena mysticetus,baleen,Number of specimens,DK,,,,,1,4,2,1,1,,
I,Balaena mysticetus,baleen,Number of specimens,FR,,,,,,,1,,,,
I,Balaena mysticetus,baleen,Number of specimens,SE,,,,,1,,,,,,
I,Balaena mysticetus,baleen,Number of specimens,US,,,,,,,,3,,,
I,Balaena mysticetus,baleen,,CA,2,1,,,,,,,,,
I,Balaena mysticetus,baleen,,DK,2,1,1,2,,3,,,,,
I,Balaena mysticetus,baleen,,US,,,1,,,,,,,,
I,Balaena mysticetus,bone carvings,Number of specimens,NZ,,,,,,,3,,,,
I,Balaena mysticetus,bone carvings,Number of specimens,US,,,,1,,,,,,,
I,Balaena mysticetus,bone carvings,,CA,,,15,,,,,,,,
I,Balaena mysticetus,bone carvings,,MC,,,,,,,,,5,,
I,Balaena mysticetus,bone pieces,Number of specimens,GB,,,,6,,,,,,,
