App.,Taxon,Term,Unit,Country,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
I,Loxodonta africana,skulls,,AE,,,2,,,,,,,,
I,Loxodonta africana,skulls,,BR,,2,,,,,,,,,
I,Loxodonta africana,skulls,,DE,2,,,,,,,,,,
I,Loxodonta africana,specimens,g,DE,,,,,,,,,,3,
I,Loxodonta africana,specimens,g,US,0.5,81,,,,,,,,,
I,Loxodonta africana,specimens,kg,GB,,,2.1,,,,,,,,
I,Loxodonta africana,specimens,kg,US,4.86,,,,,,,,,,
I,Loxodonta africana,specimens,l,ZA,,34.8,,,,,,,,,
I,Loxodonta africana,specimens,mg,CA,2,,,,,,,,,,
I,Loxodonta africana,specimens,ml,ZA,,20,,,,,140,96,,,
I,Loxodonta africana,specimens,Number of specimens,CH,,,,,10,,,,,,
I,Loxodonta africana,specimens,Number of specimens,DE,,,,,,,38,,,,
I,Loxodonta africana,specimens,Number of specimens,DK,,,,,4,6,,,,,
I,Loxodonta africana,specimens,Number of specimens,JP,,,,,,,1,33,,,
I,Loxodonta africana,specimens,Number of specimens,PT,,,,,,90,,,,,
I,Loxodonta africana,specimens,Number of specimens,US,,,,,,,6130,5,209,,
I,Loxodonta africana,specimens,Number of specimens,ZA,,,,,,,,12,,,
I,Loxodonta africana,specimens,,CA,,1,,,,,,,,,
I,Loxodonta africana,specimens,,CN,,3,,,,,,,,,
I,Loxodonta africana,specimens,,DE,3,,,1072,116,337,,,,,
I,Loxodonta africana,specimens,,GA,,,,,,84,,,,,
I,Loxodonta africana,specimens,,GB,,,25,185,,,,,,,
I,Loxodonta africana,specimens,,IT,,,,1,,,,,,,
I,Loxodonta africana,specimens,,JP,,20,,,,,,,,,
I,Loxodonta africana,specimens,,LR,,19,,,,,,,,,
I,Loxodonta africana,specimens,,MY,,,,3,,,,,,,
I,Loxodonta africana,specimens,,US,427,,20,34,,,,,,,
I,Loxodonta africana,specimens,,ZA,,123,,,,,531,94,,,
I,Loxodonta africana,tails,Number of specimens,ZA,,,,,,,1,,,,
I,Loxodonta africana,tails,,AE,,,1,,,,,,,,
I,Loxodonta africana,tails,,BR,,2,,,,,,,,,
I,Loxodonta africana,tails,,CA,2,,,,,,,,,,
I,Loxodonta africana,tails,,CH,1,,,,,,,,,,
I,Loxodonta africana,tails,,DE,,1,,,,,,,,,
I,Loxodonta africana,tails,,FR,3,,,,,,,,,,
I,Loxodonta africana,tails,,MX,6,,,,,,,,,,
I,Loxodonta africana,tails,,US,3,,,,,,,,,,
I,Loxodonta africana,teeth,,CA,4,,,,,,,,,,
I,Loxodonta africana,teeth,,CH,4,,,,,,,,,,
I,Loxodonta africana,teeth,,US,1,1,,,,,,,,,
I,Loxodonta africana,trophies,Number of specimens,AE,,,,,,1,,,,,
I,Loxodonta africana,trophies,Number of specimens,AR,,,,,1,,2,4,,,
I,Loxodonta africana,trophies,Number of specimens,AT,,,,,,,1,,,,
I,Loxodonta africana,trophies,Number of specimens,AU,,,,,,,1,1,,,
I,Loxodonta africana,trophies,Number of specimens,BE,,,,,,,,,15,,
I,Loxodonta africana,trophies,Number of specimens,BG,,,,,,,1,3,,,
I,Loxodonta africana,trophies,Number of specimens,CH,,,,3,,3,,,,,
I,Loxodonta africana,trophies,Number of specimens,CZ,,,,,,,1,2,,,
I,Loxodonta africana,trophies,Number of specimens,DE,,,,,,,,,2,,
I,Loxodonta africana,trophies,Number of specimens,DK,,,,,,,,,2,,
I,Loxodonta africana,trophies,Number of specimens,DO,,,,,,,,2,,,
I,Loxodonta africana,trophies,Number of specimens,ES,,,,,1,,,2,,,
I,Loxodonta africana,trophies,Number of specimens,FR,,,,,3,4,6,2,,,
I,Loxodonta africana,trophies,Number of specimens,GB,,,,,,,,2,,,
I,Loxodonta africana,trophies,Number of specimens,IT,,,,,,1,5,4,,,
I,Loxodonta africana,trophies,Number of specimens,KW,,,,,,,,,1,,
I,Loxodonta africana,trophies,Number of specimens,LU,,,,,,,,1,1,,
I,Loxodonta africana,trophies,Number of specimens,MX,,,,,3,3,3,1,,,
I,Loxodonta africana,trophies,Number of specimens,NL,,,,,,,1,,,,
I,Loxodonta africana,trophies,Number of specimens,NO,,,,,,2,,,,,
I,Loxodonta africana,trophies,Number of specimens,RU,,,,,1,,,1,1,,
I,Loxodonta africana,trophies,Number of specimens,SA,,,,,,,,1,1,,
I,Loxodonta africana,trophies,Number of specimens,SE,,,,,,,,1,,,
I,Loxodonta africana,trophies,Number of specimens,SK,,,,,,,,1,,,
I,Loxodonta africana,trophies,Number of specimens,US,,,,,,,2,3,28,,
I,Loxodonta africana,trophies,Number of specimens,ZA,,,,,4,,9,21,16,,
I,Loxodonta africana,trophies,,AE,2,9,4,5,,,,,,,
I,Loxodonta africana,trophies,,AR,4,6,,2,,,1,,,,
I,Loxodonta africana,trophies,,AT,2,1,1,,,,,,,,
I,Loxodonta africana,trophies,,AU,,2,,,,,,,,,
I,Loxodonta africana,trophies,,BR,2,22,22,,,,,,,,
I,Loxodonta africana,trophies,,CA,6,,2,4,,,1,,,,
I,Loxodonta africana,trophies,,CH,1,,3,5,,,,,,,
I,Loxodonta africana,trophies,,CL,1,,,,,,,,,,
I,Loxodonta africana,trophies,,CN,7,1,,,,,,,,,
I,Loxodonta africana,trophies,,CO,2,,21,,,,,,,,
I,Loxodonta africana,trophies,,CZ,,,,,,,1,,,,
I,Loxodonta africana,trophies,,DE,,5,1,3,,,1,,,,
I,Loxodonta africana,trophies,,DK,4,4,8,7,,3,1,,,,
I,Loxodonta africana,trophies,,ES,1,,,,1,,,,,,
I,Loxodonta africana,trophies,,FR,6,1,,20,,,,,,,
I,Loxodonta africana,trophies,,GB,6,,5,2,,,,,1,,
I,Loxodonta africana,trophies,,IT,2,,2,3,2,,,,,,
I,Loxodonta africana,trophies,,KW,,,,,,,2,,,,
I,Loxodonta africana,trophies,,KZ,4,,,,,,,,,,
I,Loxodonta africana,trophies,,LB,6,,2,,,,,,,,
I,Loxodonta africana,trophies,,LV,,,,1,,,,,,,
I,Loxodonta africana,trophies,,MX,3,8,7,12,,,,,,,
I,Loxodonta africana,trophies,,MY,1,,,,,,,,,,
I,Loxodonta africana,trophies,,NZ,2,,,,,,,,,,
I,Loxodonta africana,trophies,,PA,,1,,,,,,,,,
I,Loxodonta africana,trophies,,PE,14,,,,,,,,,,
I,Loxodonta africana,trophies,,PL,1,,,,,,,,,,
I,Loxodonta africana,trophies,,RS,,,1,,,,,,,,
I,Loxodonta africana,trophies,,RU,7,3,9,8,3,3,1,,2,,
I,Loxodonta africana,trophies,,SA,1,,,,,,,,,,
I,Loxodonta africana,trophies,,SE,7,,,,,,1,1,,,
I,Loxodonta africana,trophies,,SK,2,,,,,,,,,,
I,Loxodonta africana,trophies,,SV,5,2,,,,,,,,,
I,Loxodonta africana,trophies,,SZ,,,,,2,,,,,,
I,Loxodonta africana,trophies,,US,41,7,7,1,1,,2,,,,
I,Loxodonta africana,trophies,,XX,,,1,1,,,1,,,,
I,Loxodonta africana,trophies,,ZA,,,,,16,5,,,,,
I,Loxodonta africana,trophies,,ZM,1,,,,,,,,,,
I,Loxodonta africana,trophies,,ZW,1,,,,,,,,,,
I,Loxodonta africana,trunk,kg,ZA,33.7,,,,,,,,,,
I,Loxodonta africana,trunk,Number of specimens,CH,,,,,1,,,,,,
I,Loxodonta africana,trunk,Number of specimens,ZA,,,,,,,2,,,,
I,Loxodonta africana,trunk,,CA,1,,,,,,,,,,
I,Loxodonta africana,trunk,,CH,,,,,1,,,,,,
I,Loxodonta africana,trunk,,NZ,1,,,,,,,,,,
I,Loxodonta africana,tusks,kg,US,26,,,,,,,,,,
I,Loxodonta africana,tusks,Number of specimens,AE,,,,,,2,,,,,
I,Loxodonta africana,tusks,Number of specimens,AT,,,,,,,,,2,,
I,Loxodonta africana,tusks,Number of specimens,BE,,,,,,,,,2,,
I,Loxodonta africana,tusks,Number of specimens,CA,,,,,,2,,,,,
I,Loxodonta africana,tusks,Number of specimens,CH,,,,,,4,,,,,
I,Loxodonta africana,tusks,Number of specimens,DE,,,,,,,4,,,,
I,Loxodonta africana,tusks,Number of specimens,ES,,,,,2,,,,,,
I,Loxodonta africana,tusks,Number of specimens,FR,,,,,,8,4,,,,
I,Loxodonta africana,tusks,Number of specimens,GB,,,,,,,,,2,,
I,Loxodonta africana,tusks,Number of specimens,IT,,,,,1,,,,,,
I,Loxodonta africana,tusks,Number of specimens,NA,,,,,,,,,10,,
I,Loxodonta africana,tusks,Number of specimens,NO,,,,,,,,2,,,
I,Loxodonta africana,tusks,Number of specimens,US,,,,,,1,2,,4,,
I,Loxodonta africana,tusks,Number of specimens,XX,,,,,,,,2,,,
I,Loxodonta africana,tusks,Number of specimens,ZA,,,,,2,,9,5,,,
I,Loxodonta africana,tusks,,AE,1,,3,,,,,,,,
I,Loxodonta africana,tusks,,AR,6,2,,,,,,,,,
I,Loxodonta africana,tusks,,AT,2,,,,,,,,,,
I,Loxodonta africana,tusks,,AU,1,2,,,,,,,,,
I,Loxodonta africana,tusks,,BE,8,,,,,,,,,,
I,Loxodonta africana,tusks,,BR,,4,,,,,,,,,
I,Loxodonta africana,tusks,,CA,6,14,,,,,,,,,
I,Loxodonta africana,tusks,,CH,6,,,,,,,,,,
I,Loxodonta africana,tusks,,CN,5,,,,,,,,,,
I,Loxodonta africana,tusks,,CY,,6,,,,,,,,,
I,Loxodonta africana,tusks,,DE,,2,14,6,,,,,,,
I,Loxodonta africana,tusks,,DK,,,4,,,,,,,,
I,Loxodonta africana,tusks,,ES,,2,,,2,,,,,,
I,Loxodonta africana,tusks,,ET,1,,,,,,,,,,
I,Loxodonta africana,tusks,,FR,,1,,,,,,,,,
I,Loxodonta africana,tusks,,GB,1,,4,,,,,,,,
I,Loxodonta africana,tusks,,IT,,,,2,,,,,,,
I,Loxodonta africana,tusks,,JM,2,,,,,,,,,,
I,Loxodonta africana,tusks,,JO,1,,2,,,,,,,,
I,Loxodonta africana,tusks,,KZ,8,,,,,,,,,,
I,Loxodonta africana,tusks,,LB,,,,,,,,7,,,
I,Loxodonta africana,tusks,,MX,2,,,,,,,,,,
I,Loxodonta africana,tusks,,NA,,,,,2,,,,,,
I,Loxodonta africana,tusks,,NL,2,,,,,,,,,,
I,Loxodonta africana,tusks,,NZ,2,,,,,,,,,,
I,Loxodonta africana,tusks,,OM,,1,,,,,,,,,
I,Loxodonta africana,tusks,,PL,5,,,,,,,,,,
I,Loxodonta africana,tusks,,RU,6,,,2,,,,,,,
I,Loxodonta africana,tusks,,SA,,1,,,,,,,,,
I,Loxodonta africana,tusks,,SV,,1,,,,,,,,,
I,Loxodonta africana,tusks,,UG,1,,,,,,,,,,
I,Loxodonta africana,tusks,,US,15,,4,,,,,,,,
I,Loxodonta africana,tusks,,ZA,,9,,2,,2,,,,,
I,Loxodonta africana,unspecified,Number of specimens,CH,,,,,1,,,,,,
I,Loxodonta africana,unspecified,,FR,,,1,,,,,,,,
I,Loxodonta africana,unspecified,,ZA,,,80,,,,,,,,
I,Loxodonta cyclotis,cloth,,US,,,10,,,,,,,,
I,Loxodonta cyclotis,feet,,FR,,,,,,4,,,,,
I,Loxodonta cyclotis,ivory carvings,,FR,,,,,,4,,,,,
I,Loxodonta cyclotis,ivory pieces,,FR,,,,,,4,,,,,
I,Loxodonta cyclotis,specimens,Number of specimens,DE,,,,28,116,,,,,,
I,Loxodonta cyclotis,specimens,Number of specimens,XX,,,,,,,100,,,,
I,Loxodonta cyclotis,specimens,,DE,,1,,184,,,,,,,
I,Loxodonta cyclotis,specimens,,US,,,35,,,,,,85,,
I,Loxodonta cyclotis,trophies,Number of specimens,MX,,,,,,,,1,6,,
I,Loxodonta cyclotis,trophies,,CH,,,,1,,,,,,,
I,Loxodonta cyclotis,trophies,,MX,,,,2,,,,1,8,,
I,Loxodonta cyclotis,trophies,,PL,,,,,,2,,,,,
I,Loxodonta cyclotis,trophies,,RU,,,,2,,,1,,1,,
I,Loxodonta cyclotis,trophies,,ZA,,,,,,,,3,1,,
I,Loxodonta cyclotis,trophies,,ZM,,,,,,,,1,,,
I,Loxodonta cyclotis,tusks,Number of specimens,MX,,,,,,,,,4,,
I,Loxodonta cyclotis,tusks,Number of specimens,PA,,,,,,,,2,,,
I,Loxodonta cyclotis,tusks,,PA,,,,,,,,,2,,
I,Lutra lutra,bodies,,CH,2,,,,,,,,,,
I,Lutra lutra,live,,CH,1,,1,,,,,,,,
I,Lutra lutra,live,,JP,1,,,,,,,,,,
I,Lutra lutra,live,,RU,,,2,,,,,,,,
I,Lutra lutra,skins,,CZ,,,2,,,,,,,,
I,Lutra lutra,skins,,DE,,1,,,,,,,,,
I,Lutra lutra,skins,,US,,,1,,,,,,,,
I,Lutra lutra,skulls,,DE,,23,,,,,,,,,
I,Lutra lutra,skulls,,US,,,1,,,,,,,,
I,Lutra lutra,specimens,Number of specimens,CZ,,,,,,,20,,,,
I,Lutra lutra,specimens,Number of specimens,DE,,,,,,,,4,,,
I,Lutra lutra,specimens,Number of specimens,GB,,,,,,,,4,,,
I,Lutra lutra,specimens,Number of specimens,SE,,,,,,,,32,,,
I,Lutra lutra,specimens,,GB,,,,,,,20,,5,,
I,Lutra lutra,specimens,,SE,,181,,,,,,,,,
I,Lutra lutra,specimens,,US,1,,1,,,,,,,,
I,Lutra lutra,teeth,Number of specimens,US,,,,,,20,,,,,
I,Lutra lutra,teeth,,SE,,362,,,,,,,,,
I,Lutra lutra,teeth,,US,192,,,,,20,,,,,
I,Lutra lutra,trophies,Number of specimens,IL,,,,,,4,,,,,
I,Lutra lutra,unspecified,,FR,,,1,,,,,,,,
I,Lutrinae spp.,specimens,Number of specimens,US,,,,,,,8,,,,
I,Lynx pardinus,specimens,ml,CH,46,7,27,,,,2,,,,
I,Lynx pardinus,specimens,,CH,36,2,26,1,63,,,,,,
I,Macaca silenus,bodies,Number of specimens,CN,,,,,,,2,,,,
I,Macaca sylvanus,bodies,,CN,,,1,,,,,,,,
I,Macaca sylvanus,live,Number of specimens,GB,,,,,,,1,,,,
I,Macaca sylvanus,live,,ZA,,,,,6,,,,,,
I,Macaca sylvanus,specimens,ml,NL,,,,,,,5,,,,
I,Macaca sylvanus,specimens,,JP,,,10,,,,,,,,
I,Macaca sylvanus,specimens,,NL,,,,,,,160,,,,
I,Mammalia,bones,,FR,,,,1,,,,,,,
I,Mammalia,derivatives,,CA,,128,,,,,,,,,
I,Mammalia,hair,,FR,,,,1,,,,,,,
I,Mammalia,jewellery,,FR,,,,1,,,,,,,
I,Mammalia,specimens,,SZ,,,,72,,,,,,,
I,Mandrillus sphinx,bodies,,KP,1,,,,,,,,,,
I,Mandrillus sphinx,bone pieces,Number of specimens,GB,,,,,4,1,,,,,
I,Mandrillus sphinx,bones,kg,GB,,,,,,0.01,,,,,
I,Mandrillus sphinx,extract,Number of specimens,GB,,,,,,3,,,,,
I,Mandrillus sphinx,extract,Number of specimens,US,,,,,,14,,,,,
I,Mandrillus sphinx,extract,,GB,,,,,,39,,,,,
I,Mandrillus sphinx,hair,kg,GB,,,,,,1.121,,,,,
I,Mandrillus sphinx,hair,Number of specimens,GB,,,,,528,71,,,,,
I,Mandrillus sphinx,skin pieces,Number of specimens,GB,,,,,,68,,,,,
I,Mandrillus sphinx,specimens,kg,GB,,,,,,0.435,,,,,
I,Mandrillus sphinx,specimens,Number of specimens,ES,,,,,,,7,,,,
I,Mandrillus sphinx,specimens,Number of specimens,GB,,,,,143,61,,,,,
I,Mandrillus sphinx,specimens,,CZ,,1610,231,,,,,,,,
I,Mandrillus sphinx,specimens,,ES,,,,,,,7,,,,
I,Mandrillus sphinx,specimens,,GB,,108,,,,,,,9,,
I,Mandrillus sphinx,specimens,,US,,350,,513,,,,,,,
I,Manidae spp.,trophies,Number of specimens,NA,,,,,,,,1,,,
I,Manis crassicaudata,specimens,Number of specimens,FR,,,,,1,,,,,,
I,Manis culionensis,scales,Number of specimens,HK,,,,,,,,,18,,
I,Manis culionensis,skin pieces,Number of specimens,HK,,,,,,,,,2,,
I,Manis culionensis,specimens,Number of specimens,AU,,,,20,,,,,,,
I,Manis culionensis,specimens,Number of specimens,HK,,,,,,,,28,28,,
I,Manis culionensis,specimens,,AT,,,,18,,,,,,,
I,Manis gigantea,bones,Number of specimens,US,,,,,,,,13,,,
I,Manis gigantea,leather products (small),,US,,2,,,,,,,,,
I,Manis gigantea,scales,Number of specimens,US,,,,,,,1,,,,
I,Manis gigantea,scales,,CZ,,,20,,,,,,,,
I,Manis gigantea,skin pieces,Number of specimens,US,,,,,,,,1,,,
I,Manis gigantea,specimens,Number of specimens,DE,,,,,,2,,,1,,
I,Manis gigantea,specimens,Number of specimens,ES,,,,,,,3,,,,
I,Manis gigantea,specimens,Number of specimens,FR,,,,,2,,163,,,,
I,Manis gigantea,specimens,Number of specimens,GB,,,,,,,,169,,,
I,Manis gigantea,specimens,Number of specimens,US,,,,,,,2,,,,
I,Manis gigantea,specimens,,CZ,,,60,,,,25,,,,
I,Manis gigantea,specimens,,DE,,,,,,,,,1,,
I,Manis gigantea,specimens,,ES,,,,,,,3,,,,
I,Manis gigantea,specimens,,MY,,,,3,,,,,,,
I,Manis gigantea,specimens,,US,,,,,,,30,,,,
I,Manis javanica,derivatives,Number of specimens,KR,,,2,,,,,,,,
I,Manis javanica,specimens,g,GB,,1547,,,,,28,,,,
I,Manis javanica,specimens,ml,GB,,,,,,,67.4,,,,
I,Manis javanica,specimens,ml,HK,,,,,,,73,,89,,
I,Manis javanica,specimens,Number of specimens,FR,,,,,24,,,,,,
I,Manis javanica,specimens,Number of specimens,GB,,,,,,,,23,,,
I,Manis javanica,specimens,Number of specimens,HK,,,,,,,73,128,,,
I,Manis javanica,specimens,,FR,,,1,,,,,,,,
I,Manis javanica,specimens,,GB,,,,,,,74,,5,,
I,Manis javanica,unspecified,Number of specimens,US,,,,,,71,,,,,
I,Manis pentadactyla,specimens,Number of specimens,FR,,,,1,10,,,,,,
I,Manis pentadactyla,specimens,Number of specimens,US,,,,,,,1,,,,
I,Manis pentadactyla,specimens,,FR,,1,11,,,,,,,,
I,Manis pentadactyla,unspecified,Number of specimens,US,,,,,,1,,,,,
I,Manis spp.,scales,kg,US,,,,1.54,,,,,,,
I,Manis spp.,specimens,Number of specimens,FR,,,,1,,,,,,,
I,Manis spp.,specimens,Number of specimens,US,,,,,410,,1,,,,
I,Manis spp.,specimens,,CN,,,,22,,,,,,,
I,Manis spp.,specimens,,DE,,,,,,,,,14,,
I,Manis spp.,specimens,,US,,,,,,,1920,,,,
I,Manis spp.,specimens,,ZA,,1,,,,54,,,,,
I,Manis temminckii,live,Number of specimens,ZA,,,,,1,,,,,,
I,Manis temminckii,scales,,TZ,,,4,,,,,,,,
I,Manis temminckii,scales,,ZA,,,,2,,,,,,,
I,Manis temminckii,specimens,ml,FR,,,,,,96,,,,,
I,Manis temminckii,specimens,Number of specimens,FR,,,,,3,,,,,,
I,Manis temminckii,specimens,Number of specimens,GB,,,,,,59,,,,,
I,Manis temminckii,specimens,Number of specimens,US,,,,,,,,74,,,
I,Manis temminckii,specimens,,ZA,,,7,,,,,,,,
I,Manis tetradactyla,bones,Number of specimens,US,,,,,,,,1,,,
I,Manis tetradactyla,scales,g,DE,,10,,,,,,,,,
I,Manis tetradactyla,scales,Number of specimens,US,,,,,,,4,,,,
I,Manis tetradactyla,scales,,CZ,,,10,,,,,,,,
I,Manis tetradactyla,scales,,DE,,2,,,,,,,,,
I,Manis tetradactyla,scales,,US,,,,,,4,4,,,,
I,Manis tetradactyla,specimens,g,DE,,,,,,,,,,1,
I,Manis tetradactyla,specimens,Number of specimens,DE,,,,,,,,43,,,
I,Manis tetradactyla,specimens,Number of specimens,ES,,,,,,,9,,,,
I,Manis tetradactyla,specimens,Number of specimens,FR,,,,,5,,,,,,
I,Manis tetradactyla,specimens,Number of specimens,US,,,,,,,20,,,,
I,Manis tetradactyla,specimens,,CI,,1,,,,,,,,,
I,Manis tetradactyla,specimens,,CZ,,,,,,,25,,,,
I,Manis tetradactyla,specimens,,DE,,,458,450,,,,,,,
I,Manis tetradactyla,specimens,,ES,,,,,,,9,,,,
I,Manis tetradactyla,specimens,,FR,,1,,,,,,,,,
I,Manis tetradactyla,specimens,,GB,,,,,,,,,9,,
I,Manis tetradactyla,specimens,,US,,,1,,,,,,,,
I,Manis tricuspis,bones,Number of specimens,US,,,,,,,,8,,,
I,Manis tricuspis,live,,FR,,,,,349,,,,,,
I,Manis tricuspis,scales,Number of specimens,US,,,,,8,,44,,,,
I,Manis tricuspis,scales,,CZ,,,50,,,,,,,,
I,Manis tricuspis,scales,,US,,,,,,,40,,,,
I,Manis tricuspis,skin pieces,Number of specimens,US,,,,,,,,27,,,
I,Manis tricuspis,specimens,ml,DE,,,,,,,,,,2,
I,Manis tricuspis,specimens,Number of specimens,FR,,,,1,6,,,,,,
I,Manis tricuspis,specimens,Number of specimens,HK,,,,,,,,83,,,
I,Manis tricuspis,specimens,Number of specimens,US,,,,,16,201,62,,,,
I,Manis tricuspis,specimens,Number of specimens,ZA,,,,,,57,,,,,
I,Manis tricuspis,specimens,,CZ,,,42,,,,100,,,,
I,Manis tricuspis,specimens,,DE,,,456,550,,,,,,,
I,Manis tricuspis,specimens,,FR,,1,2,,,,,,,,
I,Manis tricuspis,specimens,,US,,,,,7,111,4,,,,
I,Manis tricuspis,trophies,Number of specimens,NA,,,,,,,,1,,,
I,Megaptera novaeangliae,baleen,g,DK,,,,,380,,,,,,
I,Megaptera novaeangliae,baleen,g,KR,,,,,,,,,594.286,,
I,Megaptera novaeangliae,baleen,kg,GB,,,,,,,2.839,,0.438,,
I,Megaptera novaeangliae,baleen,Number of specimens,ES,,,,,,,,2,,,
I,Megaptera novaeangliae,baleen,,DK,3,,,,,,,,,,
I,Megaptera novaeangliae,baleen,,US,,,,11,,,,,,,
I,Megaptera novaeangliae,bone carvings,Number of specimens,NZ,,,,,,,,3,,,
I,Megaptera novaeangliae,bone pieces,kg,GB,,,,,1.1,,,,,,
I,Megaptera novaeangliae,bones,g,DK,,,,,380,,,,,,
I,Megaptera novaeangliae,bones,g,JP,,,,3.28,,,,,,,
I,Megaptera novaeangliae,bones,kg,CA,,,,,1000,,,,,,
I,Megaptera novaeangliae,bones,kg,DK,,,,,,,60,,22,,
I,Megaptera novaeangliae,bones,kg,GB,,,,,,,2.839,,,,
I,Megaptera novaeangliae,bones,Number of specimens,AU,,,,,,,1,,,,
I,Megaptera novaeangliae,bones,Number of specimens,DE,,,,,,,,2,,,
I,Megaptera novaeangliae,bones,Number of specimens,DK,,,,,6,4,4,,,,
I,Megaptera novaeangliae,bones,Number of specimens,US,,,,,,,,1,1,,
I,Megaptera novaeangliae,bones,,DE,1,,,,,,,,,,
I,Megaptera novaeangliae,bones,,DK,,,,,6,,,,,,
I,Megaptera novaeangliae,bones,,FR,,,,2,,,,2,,,
I,Megaptera novaeangliae,extract,Number of specimens,US,,,,,,,,22,,,
I,Megaptera novaeangliae,jewellery,,DK,1,,,,,,,,,,
I,Megaptera novaeangliae,oil,,AU,,,,,,22,,,,,
I,Megaptera novaeangliae,plates,Number of specimens,GB,,,,,1,,,,,,
I,Megaptera novaeangliae,skeletons,Number of specimens,AU,,,,,,,1,,,,
I,Megaptera novaeangliae,skeletons,Number of specimens,CA,,,,,1,,,,,,
I,Megaptera novaeangliae,skeletons,Number of specimens,NA,,,,,1,,,,,,
I,Megaptera novaeangliae,skeletons,,NA,,,,1,,,,,,,
I,Megaptera novaeangliae,skeletons,,ZA,1,,,,,,,,,,
I,Megaptera novaeangliae,skin pieces,g,US,,,,1.8,,,,,,,
I,Megaptera novaeangliae,skin pieces,Number of specimens,AU,,,,,58,,,,,,
I,Megaptera novaeangliae,skin pieces,Number of specimens,ES,,,,,,,100,,,,
I,Megaptera novaeangliae,skin pieces,,ES,10,,,,,,,,,,
I,Megaptera novaeangliae,skin pieces,,US,,,18,,,,,,,,
I,Megaptera novaeangliae,skins,g,DK,,,,,,,,250,,,
I,Megaptera novaeangliae,skins,g,US,144,250,,,,,,,,,
I,Megaptera novaeangliae,skins,Number of specimens,CL,,,,,,,,15,,,
I,Megaptera novaeangliae,skins,Number of specimens,EC,,,,,47,,,,,,
I,Megaptera novaeangliae,skins,Number of specimens,FR,,,,,,,,,18,,
I,Megaptera novaeangliae,skins,Number of specimens,JP,,,,,,,52,,,,
I,Megaptera novaeangliae,skins,Number of specimens,NL,,,,,,113,,,,,
I,Megaptera novaeangliae,skins,,AU,,,,,,22,,,,,
I,Megaptera novaeangliae,skins,,US,1,,,,,,,,2,,
I,Megaptera novaeangliae,specimens,g,AU,40,,,,,,,,,,
I,Megaptera novaeangliae,specimens,g,CA,,,,570,,223,0.225,,,,
I,Megaptera novaeangliae,specimens,g,CL,,,,,,,60,,,,
I,Megaptera novaeangliae,specimens,g,DK,,,100,,,,,,,,
I,Megaptera novaeangliae,specimens,g,ES,,,,,,120,,,,,
I,Megaptera novaeangliae,specimens,g,JP,,,4.34,2.26,,,,,,,
I,Megaptera novaeangliae,specimens,g,SE,,372,,,,,20,,,,
I,Megaptera novaeangliae,specimens,g,US,40,1275,1.2,830,181,130,242,155,1133,,
I,Megaptera novaeangliae,specimens,kg,AU,,,,0.4,,,0.05,,,,
I,Megaptera novaeangliae,specimens,kg,DK,,0.013,0.1,,,,,,,,
I,Megaptera novaeangliae,specimens,kg,ES,,,,0.025,,,,,,,
I,Megaptera novaeangliae,specimens,kg,GB,,,,0.62,,,2.839,,0.073,,
I,Megaptera novaeangliae,specimens,kg,NC,,0.0008,,,,,,,,,
I,Megaptera novaeangliae,specimens,kg,NZ,,,,,,,,1.1,,,
I,Megaptera novaeangliae,specimens,kg,US,,,0.233,1.3,,,,,,,
I,Megaptera novaeangliae,specimens,m,US,,,0.021,,,,,,,,
I,Megaptera novaeangliae,specimens,m,XX,,,0.294,,,,,,,,
I,Megaptera novaeangliae,specimens,ml,CA,,,,,,14,,,,,
I,Megaptera novaeangliae,specimens,ml,NL,,12,,,,,,,,,
I,Megaptera novaeangliae,specimens,ml,US,,,93,,,,,,,,
I,Megaptera novaeangliae,specimens,Number of specimens,AU,,,,,,112,36,,58,,
I,Megaptera novaeangliae,specimens,Number of specimens,CA,,,,11,25,,25,,,,
I,Megaptera novaeangliae,specimens,Number of specimens,CL,,,,,,,80,,40,,
I,Megaptera novaeangliae,specimens,Number of specimens,DE,,,,,,1,,4,10,,
I,Megaptera novaeangliae,specimens,Number of specimens,ES,,,70,,,,,,,,
I,Megaptera novaeangliae,specimens,Number of specimens,GB,,,,,69,,,,,,
I,Megaptera novaeangliae,specimens,Number of specimens,JP,,,,,,,52,,,,
I,Megaptera novaeangliae,specimens,Number of specimens,MX,,,,,,,,112,231,,
I,Megaptera novaeangliae,specimens,Number of specimens,NL,,,,24,457,,,,,,
I,Megaptera novaeangliae,specimens,Number of specimens,NO,,,,,,,1,,,,
I,Megaptera novaeangliae,specimens,Number of specimens,US,,,,153,,407,,1,1359,,
I,Megaptera novaeangliae,specimens,Number of specimens,ZA,,,,,,,,1,,,
I,Megaptera novaeangliae,specimens,,AU,,,3,,,,,,,,
I,Megaptera novaeangliae,specimens,,BE,,,,,,,30,,,,
I,Megaptera novaeangliae,specimens,,CA,,,,5,,,,,,,
I,Megaptera novaeangliae,specimens,,DK,83,104,,,,,,,,,
I,Megaptera novaeangliae,specimens,,EC,,,,,40,,,,,,
I,Megaptera novaeangliae,specimens,,ES,,40,20,,,,,,,,
I,Megaptera novaeangliae,specimens,,FR,99,155,,,,,,,,,
I,Megaptera novaeangliae,specimens,,GB,,,18,,,,,,,,
I,Megaptera novaeangliae,specimens,,GT,12,,,,,,,,,,
